Object ID,State GNIS Code,fips,State FIPS Postal Code,state,Area of Land (Square Meters),Area of Water (Square Meters),Total Households,Total Households - Margin of Error,Households with no vehicle available,Households with no vehicle available - Margin of Error,Households with 1 vehicle available,Households with 1 vehicle available - Margin of Error,Households with 2 vehicles available,Households with 2 vehicles available - Margin of Error,Households with 3 vehicles available,Households with 3 vehicles available - Margin of Error,Households with 4 or more vehicles available,Households with 4 or more vehicles available - Margin of Error,All 1-Person Households,All 1-Person Households - Margin of Error,1-Person Households that have no vehicle available,1-Person Households that have no vehicle available - Margin of Error,1-Person Households that have 1 vehicle available,1-Person Households that have 1 vehicle available - Margin of Error,1-Person Households that have 2 vehicles available,1-Person Households that have 2 vehicles available - Margin of Error,1-Person Households that have 3 vehicles available,1-Person Households that have 3 vehicles available - Margin of Error,1-Person Households that have 4 or more vehicles available,1-Person Households that have 4 or more vehicles available - Margin of Error,All 2-Person Households,All 2-Person Households - Margin of Error,2-Person Households that have no vehicle available,2-Person Households that have no vehicle available - Margin of Error,2-Person Households that have 1 vehicle available,2-Person Households that have 1 vehicle available - Margin of Error,2-Person Households that have 2 vehicles available,2-Person Households that have 2 vehicles available - Margin of Error,2-Person Households that have 3 vehicles available,2-Person Households that have 3 vehicles available - Margin of Error,2-Person Households that have 4 or more vehicles available,2-Person Households that have 4 or more vehicles available - Margin of Error,All 3-Person Households,All 3-Person Households - Margin of Error,3-Person Households that have no vehicle available,3-Person Households that have no vehicle available - Margin of Error,3-Person Households that have 1 vehicle available,3-Person Households that have 1 vehicle available - Margin of Error,3-Person Households that have 2 vehicles available,3-Person Households that have 2 vehicles available - Margin of Error,3-Person Households that have 3 vehicles available,3-Person Households that have 3 vehicles available - Margin of Error,3-Person Households that have 4 or more vehicles available,3-Person Households that have 4 or more vehicles available - Margin of Error,All 4-Or-More-Person Households,All 4-Or-More-Person Households - Margin of Error,4-Or-More-Person Households that have no vehicle available,4-Or-More-Person Households that have no vehicle available - Margin of Error,4-Or-More-Person Households that have 1 vehicle available,4-Or-More-Person Households that have 1 vehicle available - Margin of Error,4-Or-More-Person Households that have 2 vehicles available,4-Or-More-Person Households that have 2 vehicles available - Margin of Error,4-Or-More-Person Households that have 3 vehicles available,4-Or-More-Person Households that have 3 vehicles available - Margin of Error,4-Or-More-Person Households that have 4 or more vehicles available,4-Or-More-Person Households that have 4 or more vehicles available - Margin of Error,Percent of households with no vehicle available,Percent of households with no vehicle available - Margin of Error,x,y
15,00448508,18,IN,Indiana,92789302676,1538002829,2553818,7375,166509,2465,821432,5396,980944,7175,399315,4285,185618,2680,726648,5428,102753,2091,486721,4349,107851,2093,21300,987,8023,587,894959,5339,31399,1159,188561,2772,484981,4339,143608,2335,46410,1239,383346,5109,13596,838,74212,2083,149063,3360,104262,2131,42213,1340,548865,4034,18761,1013,71938,2318,239049,3414,130145,2251,88972,2012,6.5,0.0946678719667191,-86.2727907508566,39.9332337014215
16,01779785,19,IA,Iowa,144661267977,1084180812,1256855,4146,71845,1642,372178,3182,489806,3933,214824,2536,108202,1586,367268,3132,49601,1338,240808,2718,59030,1288,12237,633,5592,425,463366,2747,12763,754,76703,1608,256520,2494,86498,1602,30882,869,170150,2563,4376,423,28526,1142,64627,1750,50594,1404,22027,770,256071,2381,5105,465,26141,1143,109629,2016,65495,1545,49701,1039,5.7,0.129275592912765,-93.5022097471626,42.0905515649658
17,00481813,20,KS,Kansas,211755344060,1344141205,1124549,4096,60736,1720,336920,3025,440293,3504,188830,2157,97770,1745,325708,2912,42598,1346,215335,2573,52251,1353,10870,552,4654,456,393719,2933,10538,708,68048,1689,217011,2535,70205,1208,27917,879,159695,3056,3355,396,27122,962,64281,1697,46331,1300,18606,823,245427,2374,4245,379,26415,977,106750,1779,61424,1435,46593,1419,5.4,0.151679847330044,-98.380978436543,38.500201327931
18,01779786,21,KY,Kentucky,102279490672,2375337755,1728681,5065,128588,2473,569770,4418,652919,4598,259062,3035,118342,2060,491997,4589,81578,1871,320042,3760,72820,1579,12698,707,4859,493,609358,3444,24912,1096,135687,2021,319940,3055,96967,1627,31852,1145,278610,2930,11403,823,59192,1896,111181,2252,69324,1642,27510,987,348716,2993,10695,693,54849,1641,148978,2392,80073,1657,54121,1571,7.4,0.141387098001652,-85.2821599133082,37.5343728740713
19,01629543,22,LA,Louisiana,111897594374,23753621895,1736021,5617,145958,2267,642617,4708,651862,4897,217342,3685,78242,2038,524332,4564,90597,2127,358332,4067,63025,1523,9514,726,2864,412,580172,4646,29395,1248,153022,2335,318265,3678,64057,1814,15433,956,283794,4121,12576,884,68305,1891,117295,2615,69526,1970,16092,1010,347723,3589,13390,859,62958,1873,153277,2675,74245,2023,43853,1648,8.4,0.127721084465377,-92.7826889226491,31.3393935291076
20,01779787,23,ME,Maine,79887426037,11746549764,556955,2215,40732,1293,187029,2306,222888,2348,75426,1280,30880,1058,163114,2179,28602,1071,111266,1909,18792,887,3143,352,1311,229,220561,2295,7424,647,48941,1137,125804,2030,30005,958,8387,597,80780,1738,2170,311,15419,929,34784,1132,21538,762,6869,521,92500,1295,2536,378,11403,731,43508,1203,20740,826,14313,658,7.3,0.230326071982658,-69.2227764588879,45.4025915694396
21,01714934,24,MD,Maryland,25151100280,6979966958,2192518,5412,196253,2784,704499,4699,813872,5558,322158,3707,155736,2249,591551,3961,113715,2065,389917,3568,70780,1960,12813,738,4326,492,710175,4089,40182,1297,168119,2994,373374,3303,98732,2177,29768,1021,368917,4597,19783,1060,73022,1949,147104,2791,95165,1997,33843,1230,521875,3642,22573,1046,73441,2161,222614,2861,115448,2534,87799,1728,9,0.125040225141784,-76.7715506628638,39.0398449722806
22,00606926,25,MA,Massachusetts,20205125364,7129925486,2601914,4637,323287,3462,923238,5329,942072,5603,294063,3139,119254,2102,743506,4550,194411,2796,487476,4007,51038,1489,7462,599,3119,344,859993,5253,71910,1680,245105,3346,456835,3964,69658,1574,16485,924,431341,4138,30386,1242,100239,2250,172998,3101,104768,2128,22950,948,567074,3714,26580,1212,90418,2064,261201,3136,112175,2120,76700,1848,12.4,0.131200428274726,-71.7182362783715,42.3595787789504
23,01779789,26,MI,Michigan,146600952990,103885855702,3909509,9207,305124,3404,1327568,5467,1513527,7428,529812,4193,233478,2697,1146430,5600,199785,2754,776108,5417,137781,2172,23521,784,9235,577,1369910,5809,57910,1590,318014,3116,780189,4453,166905,2168,46892,1033,580578,4425,22008,1034,117537,2151,234349,3277,159563,2118,47121,1240,812591,4402,25421,1013,115909,2330,361208,3737,179823,2133,130230,1986,7.8,0.0851076443961022,-84.6218792735369,43.5099917497743
24,00662849,27,MN,Minnesota,206228939448,18945217189,2167801,5845,148982,2001,640394,4124,876699,5144,344721,2963,157005,1972,615196,3963,105581,1762,407826,3528,79334,1410,15730,645,6725,401,772584,3852,23108,973,137461,2241,452745,3211,121908,1550,37362,872,305590,3387,9492,682,48064,1433,122801,2332,92609,1639,32624,962,474431,2999,10801,632,47043,1279,221819,2715,114474,1813,80294,1628,6.9,0.0904264441772366,-94.310728750067,46.3849060350948
25,01779790,28,MS,Mississippi,121533519481,3926919758,1105576,4591,71851,1751,366091,3803,408064,3812,176816,3090,82754,2450,317826,3722,43967,1517,201498,3105,57750,1560,10588,663,4023,546,371313,3063,14751,903,84395,2162,188288,2498,62143,1801,21736,1064,178771,3189,6278,601,39500,1277,68257,2304,46787,1416,17949,987,237666,3127,6855,650,40698,1587,93769,2335,57298,1760,39046,1463,6.5,0.156062729516422,-89.6639862469001,32.7777294970023
26,01779791,29,MO,Missouri,178050802184,2489425460,2396271,6753,167384,2297,785304,5007,912598,5531,364965,3736,166020,2386,702904,5381,109584,2313,473070,5125,96869,2221,17271,816,6110,532,853653,4511,31084,1192,179536,2311,469397,3884,132312,2110,41324,1190,357044,4349,13310,780,68497,1909,139972,2696,99789,2244,35476,1050,482670,3728,13406,864,64201,1880,206360,2676,115593,2212,83110,1623,7,0.0938142377494668,-92.487249009426,38.3980950254954
27,00767982,30,MT,Montana,376962738765,3869208832,423240,2033,21492,962,116988,1915,157485,1806,81293,1589,45982,1005,130033,2136,15522,907,76868,1813,27530,874,6600,537,3513,397,163025,2030,3773,435,24487,860,81706,1466,35731,1101,17328,554,55398,1631,942,236,8465,626,19213,926,18092,873,8686,535,74784,1423,1255,199,7168,605,29036,1075,20870,893,16455,766,5.1,0.225981647054168,-109.651355383648,47.0727679385086
28,01779792,31,NE,Nebraska,198956658395,1371829134,754063,2749,40465,1163,223864,2813,294056,2773,127808,2010,67870,1371,219665,2232,29291,1000,144313,2265,35268,953,7575,402,3218,313,265918,2122,6260,460,44537,1299,147541,2049,48544,1123,19036,672,102917,1886,2142,319,18492,853,39151,1097,30648,982,12484,564,165563,1717,2772,361,16522,927,72096,1386,41041,1168,33132,1026,5.4,0.15298538779001,-99.8188235655442,41.5432784559851
29,01779793,32,NV,Nevada,284329506470,2047206072,1075930,3357,81930,1776,386560,3238,393113,3413,148401,2249,65926,1632,307649,3146,50337,1515,206753,2392,39439,1312,8275,725,2845,358,363073,2772,17222,815,103097,1851,185977,2375,42443,1384,14334,748,162269,2659,6290,598,37837,1464,66326,2121,39892,1203,11924,684,242939,2631,8081,688,38873,1326,101371,2159,57791,1577,36823,1249,7.6,0.163347679719634,-116.666840532159,39.413802164941
30,01779794,33,NH,New Hampshire,23189413166,1026675248,528078,2194,27300,916,158298,2375,219548,2373,83686,1980,39246,1140,137426,1998,18895,898,97662,1975,16568,939,2918,320,1383,248,201245,2312,4270,429,38761,1384,122005,2066,28078,1046,8131,513,84528,1964,2340,412,12755,771,32966,1349,27432,1139,9035,610,104879,1559,1795,301,9120,687,48009,1098,25258,969,20697,790,5.2,0.17212431009837,-71.5761834052645,43.6962432015678
31,01779795,34,NJ,New Jersey,19047825980,3544860246,3213362,6651,367761,3924,1095623,5704,1158789,6767,410128,4291,181061,2789,829344,5601,194264,2965,552152,5267,69248,1667,10068,601,3612,363,993884,5542,79725,1963,281771,3173,517085,4422,93596,1880,21707,935,563347,5870,43294,1572,126082,2699,218933,3682,139599,2406,35439,1297,826787,4448,50478,1711,135618,2921,353523,3587,166865,2452,120303,2051,11.4,0.11979550044155,-74.7267741526774,39.6169036407543
32,00897535,35,NM,New Mexico,314196306401,728776523,775651,3254,45052,1296,256423,2796,288860,2742,125083,1978,60233,1473,236373,3350,30450,1062,151985,2837,41820,1507,8678,619,3440,376,267659,2860,8478,677,58089,1468,138269,2245,46373,1306,16450,910,112561,2454,3123,413,23334,1248,44371,1768,30153,1284,11580,748,159058,2292,3001,373,23015,1071,64400,1483,39879,1440,28763,1220,5.8,0.165299144261857,-106.106409224733,34.4614491432654
33,01779796,36,NY,New York,122049149763,19246994695,7316537,13711,2125466,6635,2395399,8292,1910366,9541,621450,5341,263856,2989,2176387,8014,986981,6163,1029627,5597,130818,2338,21045,970,7916,642,2283372,8072,560684,5076,656247,5362,869191,4797,157284,2033,39966,1151,1170544,8545,269275,3704,312180,3532,341979,4530,198991,2861,48119,1179,1686234,7244,308526,3419,397345,4494,568378,4593,244130,3183,167855,2730,29.1,0.0725267756795217,-75.5013589390929,42.965330364791
34,01027616,37,NC,North Carolina,125923656064,13466071395,3918597,8585,231826,3004,1250117,6503,1503324,6943,638566,5047,294764,3555,1113548,5643,145481,2360,731322,5491,187142,2939,37329,1450,12274,796,1388442,7385,47385,1733,286175,4309,729044,5046,241416,3654,84422,1820,627456,5937,19739,1026,122452,2504,248199,3962,168501,2729,68565,1791,789151,4842,19221,1023,110168,2574,338939,4167,191320,3133,129503,2518,5.9,0.0755564677507328,-79.3637118571318,35.5466450622037
35,01779797,38,ND,North Dakota,178707534813,4403267548,314903,1937,15942,849,91549,1584,121201,1987,54028,1239,32183,862,98845,1875,11429,654,63162,1627,18205,993,3895,340,2154,248,116068,1709,2728,424,16729,913,62988,1600,22748,796,10875,480,41941,1561,859,281,6071,528,15707,974,12715,829,6589,508,58049,1228,926,223,5587,553,24301,960,14670,668,12565,664,5.1,0.267802432590607,-100.471113855255,47.4685693290347
36,01085497,39,OH,Ohio,105828882568,10268850702,4654075,10201,380845,4147,1541967,6218,1751076,7002,673086,5180,307101,3318,1410748,6674,244532,3360,936742,6057,182101,2519,34182,1239,13191,804,1623873,5830,70114,1997,348761,3365,897332,4620,236003,3112,71663,1921,693718,6000,30160,1154,135256,2705,270820,3648,189736,3211,67746,1340,925736,4927,36039,1330,121208,2794,400823,4770,213165,2586,154501,2277,8.2,0.0872808748698062,-82.7881144032045,40.3081697476852
37,01102857,40,OK,Oklahoma,177662925723,3374587997,1474620,3107,82050,1729,478793,3029,576626,3316,232388,2211,104763,1651,414568,2760,52803,1344,276994,2328,66975,1532,13309,509,4487,355,515535,2899,16085,663,109498,2052,278866,2253,82600,1529,28486,866,223341,2919,6238,479,44528,1446,91824,2020,60004,1523,20747,751,321176,2767,6924,468,47773,1356,138961,1974,76475,1439,51043,1043,5.6,0.116662970130058,-97.5154977833938,35.5990615809058
38,01155107,41,OR,Oregon,248606993270,6192386935,1591835,4000,119031,2429,506131,3901,601202,4860,247900,3388,117571,2618,439093,3618,80194,1826,281134,3259,60946,1616,11912,569,4907,421,588288,3693,23979,1086,135766,2956,304193,3547,93175,2173,31175,1068,234433,3448,7951,712,47084,1572,93921,2269,61337,1711,24140,1147,330021,2853,6907,559,42147,1439,142142,2292,81476,1851,57349,2011,7.5,0.151429892408175,-120.552210322461,43.9693307831448
39,01779798,42,PA,Pennsylvania,115884442321,3394589990,5025132,9263,552690,4850,1706595,6747,1825382,7668,659625,4655,280840,3092,1484446,7093,333985,3814,962403,6489,153452,2591,24954,848,9652,571,1755068,7275,111650,2381,433413,3895,934507,4471,214905,2758,60593,1459,772641,5771,48573,1367,157801,2803,299260,3666,202940,2894,64067,1286,1012977,4513,58482,1549,152978,2928,438163,4300,216826,2494,146528,2236,11,0.0943614786104705,-77.7997846934395,40.8836410342814
40,01219835,44,RI,Rhode Island,2677779902,1323670487,410885,1911,39631,1306,148749,2429,151870,2269,50202,1407,20433,987,126661,1878,27053,1108,85963,1847,11330,672,1625,267,690,150,136705,1873,6657,609,35604,1374,77320,1449,13598,685,3526,423,65281,1546,3356,460,13945,921,26300,1046,17565,821,4115,407,82238,1547,2565,403,13237,858,36920,1252,17414,947,12102,718,9.6,0.314668960678246,-71.5875066739124,41.6961554477739
41,01779799,45,SC,South Carolina,77864918488,5075218778,1894711,6012,122421,2191,625972,4473,729902,5235,289734,3566,126682,1923,542317,4316,74760,1779,357701,3917,87095,2189,16268,886,6493,600,687242,4566,25649,1088,151381,2824,369579,3266,107014,2258,33619,981,300712,4283,10986,793,61554,1763,119460,2695,79429,1937,29283,1208,364440,3885,11026,737,55336,1973,153768,2723,87023,2067,57287,1651,6.5,0.113805786553603,-80.8985136351716,33.916214884517
42,01785534,46,SD,South Dakota,196346981786,3382720225,341565,2003,17674,820,97658,1583,125120,1672,64298,1261,36815,926,102442,1791,12098,750,63952,1554,19350,799,4790,371,2252,267,125378,1674,3024,347,18551,921,64369,1261,27235,865,12199,541,44295,1311,1026,188,7573,654,14403,754,13911,699,7382,444,69450,1137,1526,218,7582,552,26998,685,18362,664,14982,617,5.2,0.23814607264086,-100.232226625261,44.4553415401531
43,01325873,47,TN,Tennessee,106802728188,2350123465,2567061,6524,151711,2638,814442,5607,977266,6393,421986,4151,201656,2929,722285,5320,97944,2121,477014,4216,116548,2288,23136,1056,7643,652,914284,5211,29294,1081,187398,2783,488614,5235,157469,2565,51509,1457,412524,4008,12704,838,78403,2131,159998,2761,116023,2247,45396,1410,517968,4027,11769,856,71627,2150,212106,3211,125358,2433,97108,2086,5.9,0.101659895737282,-86.3397866034863,35.8470257836399
44,01779801,48,TX,Texas,676653171537,19006305260,9553046,18343,512772,5255,3159175,12733,3845889,14818,1434725,10420,600485,5110,2397543,10102,307437,3870,1711892,9925,311635,4131,49730,1356,16849,1037,2996978,8945,106549,2131,725786,6147,1705061,8009,367101,4273,92481,2010,1578584,11609,46512,1956,337521,4635,679692,8283,408574,4953,106285,2493,2579941,10282,52274,1706,383976,5362,1149501,8986,609320,6544,384870,4098,5.4,0.0540344878864389,-99.3717699000508,31.5724078615364
45,01455989,49,UT,Utah,212886221680,6998824394,957619,2261,39488,1165,234898,3073,396471,3202,184745,2621,102017,1783,184648,2554,24743,979,121993,2190,29789,1123,5626,479,2497,298,297202,2905,8107,613,57695,1725,167921,2401,48344,1157,15135,816,148404,2110,2798,319,25477,1281,59573,1493,44741,1565,15815,792,327365,2604,3840,403,29733,1279,139188,1858,86034,1881,68570,1515,4.1,0.121265692349349,-111.682412156266,39.3642277011554
46,01779802,50,VT,Vermont,23874175944,1030416650,259589,1229,17260,742,88749,1389,105489,1377,34570,1031,13521,603,77381,1404,12538,668,53231,1083,9326,466,1574,206,712,145,101082,1338,3074,335,22038,832,59125,1077,13041,571,3804,331,36649,1154,856,183,7702,608,15711,648,9698,586,2682,241,44477,979,792,171,5778,454,21327,751,10257,577,6323,470,6.6,0.284097793709635,-72.6609250559808,44.0853991096012
47,01779803,51,VA,Virginia,102257717110,8528531774,3128415,7210,194930,3060,947266,4963,1189295,6286,530572,4599,266352,3087,843863,5014,117236,2136,555779,4707,132077,2355,28626,1129,10145,712,1065222,5764,39629,1237,216179,3017,551669,4210,189149,2693,68596,1411,517540,5073,19101,1015,89616,2347,203263,3242,144232,2090,61328,1503,701790,4399,18964,1039,85692,2129,302286,3466,168565,2570,126283,2222,6.2,0.0967532149852771,-78.8747539368959,37.5231892631893
48,01779804,53,WA,Washington,172112588220,12559278850,2800423,5474,192165,2928,832720,5190,1063147,6778,466946,5178,245445,3380,751465,5440,132475,2312,471418,4505,112764,2316,24226,1085,10582,693,993478,5307,38291,1375,213988,3074,511671,4566,168409,2490,61119,1711,431606,4483,10894,705,78010,2007,172449,3108,118788,2548,51465,1516,623874,4066,10505,724,69304,2094,266263,3407,155523,2539,122279,2422,6.9,0.103691691990721,-120.43028570438,47.397180774417
49,01779805,54,WV,West Virginia,62266474513,489028543,734676,2910,63583,1675,253490,3086,272649,3157,102169,1737,42785,1455,217917,2797,41320,1430,139345,2595,29990,1243,5280,505,1982,295,272555,2834,13337,734,66057,1544,140296,2321,40686,1232,12179,775,115047,2200,4932,496,25005,1381,46762,1586,28281,1040,10067,721,129157,1845,3994,389,23083,1059,55601,1430,27922,1069,18557,898,8.7,0.225399800562781,-80.6087400153847,38.6519367078775
50,01779806,55,WI,Wisconsin,140290039723,29344951758,2343129,6471,158139,2324,746275,4676,941302,5324,347635,3313,149778,1939,683448,4610,107860,2135,466790,4068,86907,1501,15680,685,6211,424,867661,3906,27143,991,169772,2517,507392,3495,126275,1899,37079,931,326277,3240,10919,858,58297,1427,131549,2281,93350,1431,32162,927,465743,2978,12217,616,51416,1514,215454,2488,112330,1660,74326,1421,6.7,0.0974165497266017,-90.0210439383857,44.6652937790237
